Id,Name,Gender,Age,Email,Phone,Salary,Marital Status
1,Brooke Gray,1,25,b.gray@randatmail.com,4092648416,53446.45,Married
2,Roland Craig,0,18,r.craig@randatmail.com,3984759942,92132.9,Single
3,Marcus Taylor,7,151,m.taylor@randatmail.com,4493400668,95182.5,Married
4,,M,28,e.hamilton@randatmail.com,5749289156,50249.95,Married
5,Lyndon Morrison,M,21,l.morrison@randatmail.com,,70042.17,Unmarried
6,Gianna Allen,F,T,g.allen@randatmail.com,,36978.97,Married
7,Alexander Casey,M,27,,0,-20581.57,Married
8,Ellia*Thompson,Female,200,e.thompson@randatmail.com,0,-52535.12,
9,Lilianna Ross,F,25,l.ross@randatmail.com,338507979,17900.18,
10,Ned Williams,M,26,,801881510,37067.7,Single
11,Frederick Kelley,,18,,381201742,,M
12,Sam Thompson,M,,myrandomemail,4555255393,22135.27,M
13,Miley Reed,,,anotheremail,39698953460,19539.5,M
14,Frederick Cunningham,M,20,f.cunningham@randatmail.com,64794273750,29871,
15,Stella Davis,F,,s.davis@randatmail.com,69471043060,-66028.57,S
16,Hailey@Lloyd,F,A,h.lloyd@randatmail.com,5972097815,73050.5,
17,Fenton Bennett,M,21,f.bennett@randatmail.com,4726420874,14240.2,Married
18,,M,0,a.riley@randatmail.com,3769857788,,
19,Isabella_Perkins,,0,i.perkins@randatmail.com,2784804371,99744.28,Married
20,Alexia Adams,F,-1,a.adams@randatmail.com,2746477063,14304.23,Single
21,Miller Henderson,M,-100,m.henderson@randatmail.com,5062720645,42602.95,Single
22,Ellia Jones,F,28,e.jones@randatmail.com,8163479486,37263.32,Married
,Derek Morrison,M,22,d.morrison@randatmail.com,3806050737,42858.44,Married
24,Jasmine Barrett,F,27,j.barrett@randatmail.com,2114643052,18304.84,Single
25,Alan Russell,#,21,a.russell@randatmail.com,,19685.29,
26,Paige Reed,@,,p.reed@randatmail.com,4252159511,78171.95,Married
27,,!,23,f.hunt@randatmail.com,7236015426,94249.24,Married
28,Miley Campbell,F,23,m.campbell@randatmail.com,2584587878,12487.51,Single
29,Carl Ross,M,23,c.ross@randatmail.com,4984426259,19587.57,Single
30,Vanessa Taylor,F,29,v.taylor@randatmail.com,9148544967,80952.53,Married
31,Kirsten Andrews,F,24,k.andrews@randatmail.com,9966036254,18107.24,Married
32,Carina Craig,F,22,c.craig@randatmail.com,4534275797,80399.96,Married
33,Vanessa Williams,F,24,v.williams@randatmail.com,6373362020,31957.49,Single
34,Walter Anderson,M,26,w.anderson@randatmail.com,3562186481,35035.17,Single
35,Marcus Harrison,M,23,m.harrison@randatmail.com,5414248861,74076.04,Single
36,Lucy Cunningham,F,24,l.cunningham@randatmail.com,5095060497,24646.4,Single
37,Ada Holmes,F,28,a.holmes@randatmail.com,3738608554,58760.69,Single
38,Naomi Spencer,F,29,n.spencer@randatmail.com,9692167668,16860.01,Single
39,Cherry Rogers,F,23,c.rogers@randatmail.com,8639319576,83745.39,Single
40,Cherry Craig,F,24,c.craig@randatmail.com,6919450241,21344.52,Married
41,Madaline Russell,F,19,m.russell@randatmail.com,4626593934,87570.45,Single
42,Oscar Mason,M,26,o.mason@randatmail.com,6435148844,44350.44,Single
43,Alberta Douglas,F,30,a.douglas@randatmail.com,5836548041,52368.05,Married
44,James Hawkins,M,29,j.hawkins@randatmail.com,4908121504,82779.88,Married
45,Jacob Cole,M,25,j.cole@randatmail.com,4357701510,97454.57,Married
46,Sydney Ellis,F,20,s.ellis@randatmail.com,6448856552,56943.67,Single
47,Alisa Tucker,F,30,a.tucker@randatmail.com,6436249624,22415.75,Married
48,Sarah Robinson,F,21,s.robinson@randatmail.com,8464632653,90667.27,Single
49,Alexander Douglas,M,28,a.douglas@randatmail.com,3932824696,89725.77,Single
50,Chloe Wilson,F,30,c.wilson@randatmail.com,3122169116,41208.13,Married
51,Briony Murphy,F,23,b.murphy@randatmail.com,2658317645,66227.71,Single
52,Amelia Bennett,F,18,a.bennett@randatmail.com,8297511935,83750.14,Single
53,Luke Hawkins,M,18,l.hawkins@randatmail.com,5594552453,20313.82,Married
54,Antony Owens,M,20,a.owens@randatmail.com,7136429953,24329.48,Married
55,Edwin Baker,M,25,e.baker@randatmail.com,2589236553,42107.36,Single
56,Alfred Davis,M,22,a.davis@randatmail.com,6414471449,63671.31,Married
57,Antony Stewart,M,30,a.stewart@randatmail.com,9594031368,16089.16,Single
58,Alisa Higgins,F,25,a.higgins@randatmail.com,5894489856,45771.1,Single
59,Amelia Williams,F,25,a.williams@randatmail.com,4837370863,60479.32,Single
60,Alexander Martin,M,21,a.martin@randatmail.com,2504665040,65864.6,Single
61,Valeria Ryan,F,18,v.ryan@randatmail.com,2843443575,28892.26,Single
62,Melissa Scott,F,19,m.scott@randatmail.com,2974751839,93440.33,Single
63,Abraham Richardson,M,20,a.richardson@randatmail.com,6603148657,84243.58,Single
64,Byron Murray,M,24,b.murray@randatmail.com,5732949404,28618.84,Married
65,Jack Russell,M,18,j.russell@randatmail.com,9017233080,15619.39,Married
66,Isabella Cameron,F,26,i.cameron@randatmail.com,8575148807,97459.6,Single
67,Adrianna Brown,F,27,a.brown@randatmail.com,3229460477,47774.39,Married
68,Carlos Hill,M,18,c.hill@randatmail.com,8114935470,55409.37,Single
69,Patrick Casey,M,27,p.casey@randatmail.com,7706094708,49903.1,Single
70,Aiden Owens,M,28,a.owens@randatmail.com,9934293659,84281.68,Married
71,Sofia Casey,F,21,s.casey@randatmail.com,3067956029,77626.67,Single
72,Arnold Clark,M,18,a.clark@randatmail.com,9573898728,44186.96,Single
73,Adele Johnson,F,30,a.johnson@randatmail.com,9709603842,94582.69,Single
